	begindag	beginjaar	beginmaand	einddag	eindjaar	eindmaand	id	idcollege	idfunctie	idregent	lokaal	old_id	old_idcollege	old_idfunctie	old_idregent	opmerkingen	periode	provinciaal	regio	stand	vertegenwoordigend
0	2.0	1801.0	10	8.0	1801.0	12.0	1	127.0	92	335.0		batfra_1	batfra_127	batfra_92	batfra_335.0	Waarnemend.	2	0.0			0
1	16.0	1799.0	07	2.0	1801.0	10.0	2	198.0	326	335.0		batfra_2	batfra_198	batfra_326	batfra_335.0	Gecontinueerd 14 juli 1800.	2	0.0			0
2	3.0	1801.0	12	26.0	1802.0	5.0	3	128.0	307	335.0		batfra_3	batfra_128	batfra_307	batfra_335.0	Beëindigd door overlijden.	2	0.0			0
3	1.0	1807.0	12	1.0	1809.0	1.0	8	7.0	525	166.0		batfra_8	batfra_7	batfra_525	batfra_166.0	Herbenoemd voor 1808 op 14 december 1807.	2	0.0			0
4	19.0	1809.0	08	31.0	1811.0	12.0	9	200.0	338	166.0		batfra_9	batfra_200	batfra_338	batfra_166.0		2	0.0			0
5		1810.0					10	29.0	159	166.0		batfra_10	batfra_29	batfra_159	batfra_166.0		2	0.0			0
6	7.0	1811.0	04		1812.0	2.0	11	162.0	275	166.0	1.0	batfra_11	batfra_162	batfra_275	batfra_166.0		2	0.0			0
7	14.0	1801.0	12	1.0	1805.0	5.0	12	149.0	338	13.0		batfra_12	batfra_149	batfra_338	batfra_13.0		2	0.0			0
8	28.0	1803.0	03	1.0	1805.0	5.0	13	118.0	622	13.0		batfra_13	batfra_118	batfra_622	batfra_13.0		2	0.0			0
9	5.0	1805.0	07		1806.0	6.0	14	125.0	38	13.0		batfra_14	batfra_125	batfra_38	batfra_13.0		2	0.0			0
10	23.0	1808.0	02		1809.0	5.0	15	3.0	12	13.0		batfra_15	batfra_3	batfra_12	batfra_13.0		2	0.0			0
11	1.0	1808.0	08	1.0	1810.0	11.0	16	13.0	486	13.0		batfra_16	batfra_13	batfra_486	batfra_13.0	Beëindigd door overlijden.	2	0.0			0
