	idcollege	periode	college	volgnummerbasiscollege	basis	id	old_idcollege	old_id
0	1	2	Staatssecretarie (Ministerie van de Secretarie van Staat)	0.0	0	1	batfra_1	batfra_1
1	2	2	Koninklijke Secretarie	0.0	0	2	batfra_2	batfra_2
2	3	2	Ministerie van Binnenlandse Zaken (1)	0.0	0	3	batfra_3	batfra_3
3	4	2	Ministerie van Financiën	0.0	0	4	batfra_4	batfra_4
4	5	2	Ministerie van Justitie en Politie	0.0	0	5	batfra_5	batfra_5
5	6	2	Ministerie van Oorlog	0.0	0	6	batfra_6	batfra_6
6	7	2	Staatsraad (Koninkrijk)	0.0	0	8	batfra_7	batfra_8
7	8	2	Ministerie van Openbare Eredienst	0.0	0	9	batfra_8	batfra_9
8	9	2	Ministerie van de Waterstaat	0.0	0	10	batfra_9	batfra_10
9	10	2	Ministerie van Eredienst en Binnenlandse Zaken	0.0	0	11	batfra_10	batfra_11
10	11	2	Ministerie van Buitenlandse Zaken	0.0	0	12	batfra_11	batfra_12
11	12	2	Ministerie van Koophandel en Koloniën	0.0	0	13	batfra_12	batfra_13
12	13	2	Ministerie van Marine en Koloniën	0.0	0	14	batfra_13	batfra_14
13	14	2	Ministerie van Marine	0.0	0	15	batfra_14	batfra_15
14	15	2	Directoraat-Generaal van Openbaar Onderwijs en Wetenschappen	0.0	0	16	batfra_15	batfra_16
15	16	2	Directoraat-Generaal van Schone Kunsten	0.0	0	17	batfra_16	batfra_17
16	17	2	Directoraat-Generaal van Wetenschappen en Kunsten	0.0	0	18	batfra_17	batfra_18
17	18	2	Directoraat-Generaal van de Publieke Schatkist	0.0	0	19	batfra_18	batfra_19
18	20	2	Directoraat-Generaal van de Publieke Schuld (en Pensioenen)	0.0	0	21	batfra_20	batfra_21
19	21	2	Kabinet van de Koning van Holland	0.0	0	22	batfra_21	batfra_22
20	22	2	Koninklijke Staatsdrukkerij	0.0	0	23	batfra_22	batfra_23
21	23	2	Raad van Judicature over de Middelen te Water en te Lande (Raadpensionaris)	0.0	0	25	batfra_23	batfra_25
22	24	2	Hoge Militaire Vierschaar (2)	0.0	0	26	batfra_24	batfra_26
