	idfunctie	periode	functie	volgnummer	lokaal	id	old_idfunctie	old_id
0	1	2	minister secretaris van staat	0	0	0	batfra_1	batfra_0
1	5	2	koning van Holland	0	0	0	batfra_5	batfra_0
2	6	2	kanselier van de koning	0	0	0	batfra_6	batfra_0
3	7	2	minister vice-president	0	0	0	batfra_7	batfra_0
4	8	2	raad-secretaris	0	0	0	batfra_8	batfra_0
5	9	2	minister	0	0	0	batfra_9	batfra_0
6	10	2	inspecteur voor het geneeskundige	0	0	0	batfra_10	batfra_0
7	11	2	inspecteur voor het lagere schoolwezen	0	0	0	batfra_11	batfra_0
8	12	2	inspecteur voor maten en gewichten, tevens adviseur wis-, natuur-, schei- en werktuigkunde	0	0	0	batfra_12	batfra_0
9	27	2	secretaris sectie Staatsraad	0	0	0	batfra_27	batfra_0
10	28	2	directeur-generaal	0	0	0	batfra_28	batfra_0
11	30	2	requestmeester-generaal	0	0	0	batfra_30	batfra_0
12	31	2	controleur-generaal van de publieke inkomsten en uitgaven	0	0	0	batfra_31	batfra_0
13	32	2	eerste secretaris	0	0	0	batfra_32	batfra_0
14	33	2	tweede secretaris	0	0	0	batfra_33	batfra_0
15	34	2	directeur	0	0	0	batfra_34	batfra_0
16	35	2	commies-indexmaker	0	0	0	batfra_35	batfra_0
17	37	2	adjunct archivarius	0	0	0	batfra_37	batfra_0
18	38	2	commissaris-adviseur tot de zaken der wis-, natuur-, schei- en werktuigkunde	0	0	0	batfra_38	batfra_0
19	39	2	commissaris tot de zaken van het lager schoolwezen	0	0	0	batfra_39	batfra_0
20	40	2	commissaris tot de zaken der geneeskundige staatsregeling	0	0	0	batfra_40	batfra_0
21	41	2	commissaris tot de zaken van de landbouw	0	0	0	batfra_41	batfra_0
22	43	2	landsastronomist	0	0	0	batfra_43	batfra_0
23	45	2	inspecteur-generaal van de waterstaat	0	0	0	batfra_45	batfra_0
24	48	2	président délégué	0	0	0	batfra_48	batfra_0
25	49	2	keizer van Frankrijk	0	0	0	batfra_49	batfra_0
26	55	2	ministre	0	0	0	batfra_55	batfra_0
27	66	2	directeur-général	0	0	0	batfra_66	batfra_0
28	69	2	directeur du premier arrondissement de la police générale	0	0	0	batfra_69	batfra_0
29	70	2	inspecteur-général de la gendarmerie impériale	0	0	0	batfra_70	batfra_0
30	71	2	premier président	0	0	0	batfra_71	batfra_0
31	72	2	conseiller	0	0	0	batfra_72	batfra_0
32	74	2	grand maître	0	0	0	batfra_74	batfra_0
33	75	2	lieutenant-général de l' empereur	0	0	0	batfra_75	batfra_0
34	76	2	gouverneur-général des départements de la Hollande	0	0	0	batfra_76	batfra_0
35	77	2	koningin van Holland	0	0	0	batfra_77	batfra_0
36	78	2	intendant-général de l' intérieur en Hollande	0	0	0	batfra_78	batfra_0
37	81	2	raadpensionaris	0	0	0	batfra_81	batfra_0
38	82	2	opperstalmeester	0	0	0	batfra_82	batfra_0
39	83	2	grootmeester van het huis van de Koning	0	0	0	batfra_83	batfra_0
40	84	2	president	0	0	0	batfra_84	batfra_0
41	86	2	maître des Requêtes chargé du Service des Ponts et Chaussées en Hollande	0	0	0	batfra_86	batfra_0
42	92	2	agent	0	0	0	batfra_92	batfra_0
43	101	2	eerste commissaris van het commissariaat der Franse troepen in soldij der Bataafse Republiek	0	0	0	batfra_101	batfra_0
44	103	2	commissaris-liquidateur	0	0	0	batfra_103	batfra_0
45	109	2	grand maréchal du Palais	0	0	0	batfra_109	batfra_0
46	111	2	secrétaire	0	0	0	batfra_111	batfra_0
47	113	2	intendant général de l' Empereur	0	0	0	batfra_113	batfra_0
48	116	2	procureur-général-impérial	0	0	0	batfra_116	batfra_0
49	123	2	préfet	0	0	0	batfra_123	batfra_0
50	128	2	grand-chancellier	0	0	0	batfra_128	batfra_0
51	135	2	archi-chancelier de l' empire	0	0	0	batfra_135	batfra_0
52	136	2	archi-trésorier de l' empire	0	0	0	batfra_136	batfra_0
53	138	2	consul-général de France à Amsterdam	0	0	0	batfra_138	batfra_0
