	id functiebovenlokaal	functiebovenlokaal	volgnummer	old_id functiebovenlokaal
0	1	Gecommitteerde	2	republiek_1
1	2	Ordinaris raadsheer	6	republiek_2
2	3	Extraordinaris raadsheer	7	republiek_3
3	4	President-raadsheer	4	republiek_4
4	5	Raadsheer	5	republiek_5
5	6	Luitenant	9	republiek_6
6	7	Hoofdman	8	republiek_7
7	8	Ordinaris gedeputeerde	1	republiek_8
8	9	Bewindhebber	3	republiek_9
9	10	Advocaat-fiscaal	15	republiek_10
10	11	Agent	23	republiek_11
11	13	Auditeur	18	republiek_13
12	14	Commies	21	republiek_14
13	15	Commies-generaal	22	republiek_15
14	16	Griffier	19	republiek_16
15	17	Landsadvocaat	12	republiek_17
16	18	Ontvanger-generaal	17	republiek_18
17	19	Ontvanger-Generaal van de Unie	11	republiek_19
18	20	Procureur-generaal	14	republiek_20
19	21	Raadpensionaris	13	republiek_21
20	22	Secretaris	16	republiek_22
21	23	Substituut-griffier	20	republiek_23
22	24	Thesaurier-Generaal van de Unie	10	republiek_24
23	25	-	24	republiek_25
24	26	Ontvanger-generaal in het Zuiderkwartier	17	republiek_26
25	27	Ontvanger-generaal in het Noorderkwartier Nkw.	17	republiek_27
