	idprovincie	provincie	volgnummer	old_idprovincie
0	2	Zeeland		batfra_2
1	3	Frise		batfra_3
2	4	Texel		batfra_4
3	5	Ems-Occidental		batfra_5
4	6	Yssel-Supérieur		batfra_6
5	7	Bouches-de-la-Meuse		batfra_7
6	8	Zuyderzée		batfra_8
7	9	Friesland		batfra_9
8	10	Bouches-de-l' Yssel		batfra_10
9	11	Holland		batfra_11
10	12	Utrecht		batfra_12
11	13	Gelderland		batfra_13
12	14	Groningen		batfra_14
13	15	Brabant		batfra_15
14	16	Maasland		batfra_16
15	17	Drenthe		batfra_17
16	18	Amstelland		batfra_18
17	19	Delf		batfra_19
18	20	Oude IJssel		batfra_20
19	21	Eems		batfra_21
20	22	Rijn		batfra_22
21	23	Dommel		batfra_23
22	24	Schelde en Maas		batfra_24
23	25	Overijssel		batfra_25
24	26	Oost-Friesland		batfra_26
25	28	Amstel		batfra_28
0	1	Drenthe		negentiende_eeuw_1
1	2	Friesland		negentiende_eeuw_2
2	3	Gelderland		negentiende_eeuw_3
3	4	Groningen		negentiende_eeuw_4
4	5	Limburg		negentiende_eeuw_5
5	6	Noord-Brabant		negentiende_eeuw_6
6	7	Noord-Holland		negentiende_eeuw_7
7	8	Overijssel		negentiende_eeuw_8
8	9	Utrecht		negentiende_eeuw_9
9	10	Zeeland		negentiende_eeuw_10
10	11	Zuid-Holland		negentiende_eeuw_11
11	12	Holland		negentiende_eeuw_12
12	13	Boven-IJssel		negentiende_eeuw_13
13	14	Monden van de IJssel		negentiende_eeuw_14
14	15	Monden van de Maas		negentiende_eeuw_15
15	16	Monden van de Rijn		negentiende_eeuw_16
16	17	Monden van de Schelde		negentiende_eeuw_17
17	18	Wester Eems		negentiende_eeuw_18
18	19	Zuiderzee		negentiende_eeuw_19
19	20	Landen van Overmaze		negentiende_eeuw_20
0	1	Zeeland	1.0	me_1
1	2	Overijssel	2.0	me_2
2	3	Utrecht	3.0	me_3
3	4	Holland	0.0	me_4
4	5	Friesland	0.0	me_5
5	6	Gelderland	0.0	me_6
6	7	Groningen	0.0	me_7
7	8	Brabant	0.0	me_8
8	9	Vlaanderen	0.0	me_9
9	10	Artesië	0.0	me_10
10	11	Namen	0.0	me_11
11	12	Rijsel	0.0	me_12
12	13	Henegouwen	0.0	me_13
13	14	Holland en Zeeland	0.0	me_14
0	1	Friesland	0.0	divperioden_1
1	2	Holland	0.0	divperioden_2
0	2	Groningen	7.0	republiek_2
1	3	Holland	2.0	republiek_3
2	5	Zeeland	3.0	republiek_5
3	6	Friesland	5.0	republiek_6
4	7	Utrecht	4.0	republiek_7
5	8	Gelderland	1.0	republiek_8
6	9	Overijssel	6.0	republiek_9
7	10	H en Z	8.0	republiek_10
